stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,Fixation.started,grating.started,key_resp.started,Fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,2,10.0,0.0876118999440223,,0.054016900015994906,0.0876118999440223,0.5695909999776632,0.5695909999776632,0.5968748000450432,0.8786440000403672,1.787603700067848,right,10.0,0,0,1.1476649001706392,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
1,2,12.0,1.7942993000615388,,1.7876835998613387,1.7942993000615388,2.2964620999991894,2.2964620999991894,2.2964620999991894,2.59946920000948,2.930954199982807,left,-12.0,0,0,0.6307079999241978,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
2,1,14.0,2.9450046999845654,,2.931085400050506,2.9450046999845654,3.446001400006935,3.446001400006935,3.446001400006935,3.7455965999979526,4.030556499958038,left,-14.0,1,1,0.5722997998818755,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
3,1,13.0,4.044810499995947,,4.030700400006026,4.044810499995947,4.5454194999765605,4.5454194999765605,4.5454194999765605,4.846058499999344,5.247053199913353,right,13.0,1,1,0.6861567001324147,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
4,1,13.0,5.261764399940148,,5.247178100049496,5.261764399940148,5.76232249988243,5.76232249988243,5.76232249988243,6.062434599967673,6.0956927998922765,right,13.0,0,0,0.3218870998825878,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
5,1,14.0,6.111763400025666,,6.0957573999185115,6.111763400025666,6.595591600053012,6.595591600053012,6.612152599962428,6.895148999989033,7.397376199951395,left,-14.0,1,1,0.7977424999698997,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
6,1,14.0,7.412430800031871,,7.397512400057167,7.412430800031871,7.912228500004858,7.912228500004858,7.912228500004858,8.212163799908012,8.2795332998503,left,-14.0,0,0,0.35274520004168153,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
7,1,15.0,8.295115599874407,,8.279610199853778,8.295115599874407,8.778056300012395,8.778056300012395,8.795598000055179,,8.995666800066829,left,-15.0,1,1,0.2115845000371337,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
8,1,15.0,9.011692199856043,,8.995749099878594,9.011692199856043,9.494699999922886,9.494699999922886,9.512133900076151,9.795360899996012,9.980650499928743,right,15.0,0,0,0.47579150018282235,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
9,1,16.0,9.99623139994219,,9.980792199959978,9.99623139994219,10.495931199984625,10.495931199984625,10.511868600035086,10.79581949999556,10.946156000019982,right,16.0,1,1,0.4406072001438588,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
10,1,16.0,10.96166400006041,,10.94621429988183,10.96166400006041,11.44547459995374,11.44547459995374,11.46216610004194,,11.680475000059232,left,-16.0,0,0,0.2320977000053972,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
11,1,17.0,11.695272299926728,,11.680585599970073,11.695272299926728,12.195602599997073,12.195602599997073,12.195602599997073,,12.214055799879134,right,17.0,0,0,0.01547779981046915,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
12,1,18.0,12.22916890005581,,12.214196699904278,12.22916890005581,12.728653299855068,12.728653299855068,12.728653299855068,13.0290305998642,13.046837500063702,right,18.0,0,0,0.30905190017074347,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
13,1,19.0,13.062079699942842,,13.046943800058216,13.062079699942842,13.562677700072527,13.562677700072527,13.562677700072527,13.864633499877527,14.09778039995581,left,-19.0,1,1,0.5308775999583304,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
14,1,19.0,14.111537599936128,,14.097941699903458,14.111537599936128,14.612679600017145,14.612679600017145,14.612679600017145,,14.895668199984357,left,-19.0,1,1,0.2793396001216024,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
15,0.5,19.0,14.912070399848744,,14.895739099942148,14.912070399848744,15.395797000033781,15.395797000033781,15.413114700000733,15.695410700049251,15.680809200042859,left,-19.0,1,1,0.28366849990561604,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
16,0.5,18.5,15.695410700049251,,15.680922099854797,15.695410700049251,16.195291900075972,16.195291900075972,16.195291900075972,16.496282399864867,16.61358670005575,right,18.5,1,1,0.40456410008482635,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
17,0.5,18.5,16.62846879987046,,16.613719899905846,16.62846879987046,17.129278499865904,17.129278499865904,17.129278499865904,17.42880819994025,17.497167899971828,left,-18.5,0,0,0.35658050002530217,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
18,0.5,19.0,17.511735700070858,,17.4972689000424,17.511735700070858,18.01287980005145,18.01287980005145,18.01287980005145,18.32892749994062,18.53059249999933,right,19.0,1,1,0.5110798999667168,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
19,0.5,19.0,18.54552839999087,,18.530732200015336,18.54552839999087,19.04543920001015,19.04543920001015,19.04543920001015,19.345476099988446,19.547461200039834,right,19.0,1,1,0.4928560999687761,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
20,0.5,19.0,19.56223320006393,,19.547599700046703,19.56223320006393,20.06215270003304,20.06215270003304,20.06215270003304,20.36250659986399,20.4464302000124,left,-19.0,0,0,0.3672499000094831,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
21,0.5,19.5,20.46223339997232,,20.446534199872985,20.46223339997232,20.945816399995238,20.945816399995238,20.962116200011224,,20.996713999891654,left,-19.5,1,1,0.04338110005483031,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
22,0.5,19.5,21.011735700070858,,20.99700800003484,21.011735700070858,21.51221159985289,21.51221159985289,21.51221159985289,21.811910199932754,21.897788299946114,right,19.5,1,1,0.38271400006487966,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
23,0.5,19.5,21.91231909999624,,21.897908800048754,21.91231909999624,22.41214090003632,22.41214090003632,22.41214090003632,22.71164770005271,25.880972299957648,left,-19.5,0,0,3.465155699988827,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
24,0.5,20.0,25.895098800072446,,25.88107950007543,25.895098800072446,26.395783700048923,26.395783700048923,26.395783700048923,26.696124400012195,26.981014299904928,right,20.0,1,1,0.5760089000687003,623481,001,2024-09-06_12h10.40.417,Adaptive staircase,2024.1.5,None,2024-09-06 12h10.46.820319 +0530,
