word,colour,stim_condition,correct_res,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_3.started,text_3.stopped,ins.stopped,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thanks.started,text_2.started,text_2.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.0022166999988257885,0.004840400069952011,1.017223000060767,0.9996194001287222,,,,,,,,,,,,,,,191780,001,2024-08-16_12h01.40.455,stroop effect,2024.1.5,None,2024-08-16 12h01.47.348047 +0530,
RED,red,C,r,0,0,0,0,1.017223000060767,,,,,,1.0093248998746276,1.017223000060767,1.5152340000495315,1.5152340000495315,1.5317342998459935,3.071318000089377,r,1,1.5384435998275876,None,,,,,191780,001,2024-08-16_12h01.40.455,stroop effect,2024.1.5,None,2024-08-16 12h01.47.348047 +0530,
BLUE,blue,C,b,0,1,1,3,3.0815646001137793,,,,,,3.07232220005244,3.0815646001137793,3.581937199924141,3.581937199924141,3.581937199924141,4.617061600089073,b,1,1.0193472001701593,None,,,,,191780,001,2024-08-16_12h01.40.455,stroop effect,2024.1.5,None,2024-08-16 12h01.47.348047 +0530,
YELLOW,yellow,C,y,0,2,2,2,4.633199800271541,,,,,,4.618065100163221,4.633199800271541,5.131888899952173,5.131888899952173,5.148930900264531,6.183362199924886,y,1,1.0367188998498023,None,,,,,191780,001,2024-08-16_12h01.40.455,stroop effect,2024.1.5,None,2024-08-16 12h01.47.348047 +0530,
RED,blue,I,b,0,3,3,1,6.198359000030905,,,,,,6.184384100139141,6.198359000030905,6.698490899987519,6.698490899987519,6.698490899987519,7.732997099868953,b,1,1.0299007999710739,None,,,,,191780,001,2024-08-16_12h01.40.455,stroop effect,2024.1.5,None,2024-08-16 12h01.47.348047 +0530,
RED,blue,I,b,1,0,4,1,7.748295099940151,,,,,,7.733765000011772,7.748295099940151,8.24871509987861,8.24871509987861,8.24871509987861,9.450054400134832,b,1,1.1909632999449968,None,,,,,191780,001,2024-08-16_12h01.40.455,stroop effect,2024.1.5,None,2024-08-16 12h01.47.348047 +0530,
RED,red,C,r,1,1,5,0,9.465191700030118,,,,,,9.451065400149673,9.465191700030118,9.965162700042129,9.965162700042129,9.965162700042129,10.733972299844027,r,1,0.7596259000711143,None,,,,,191780,001,2024-08-16_12h01.40.455,stroop effect,2024.1.5,None,2024-08-16 12h01.47.348047 +0530,
YELLOW,yellow,C,y,1,2,6,2,10.748388099949807,,,,,,10.734981200192124,10.748388099949807,11.248625500127673,11.248625500127673,11.248625500127673,12.132373500149697,y,1,0.8677864000201225,None,,,,,191780,001,2024-08-16_12h01.40.455,stroop effect,2024.1.5,None,2024-08-16 12h01.47.348047 +0530,
BLUE,blue,C,b,1,3,7,3,12.148263100069016,,,,,,12.13274100003764,12.148263100069016,12.631887100171298,12.631887100171298,12.648469999898225,13.650125999934971,b,1,1.0142703000456095,None,,,,,191780,001,2024-08-16_12h01.40.455,stroop effect,2024.1.5,None,2024-08-16 12h01.47.348047 +0530,
BLUE,blue,C,b,2,0,8,3,13.66537050018087,,,,,,13.651110299862921,13.66537050018087,14.165172600187361,14.165172600187361,14.165172600187361,14.966921000275761,b,1,0.7926934002898633,None,,,,,191780,001,2024-08-16_12h01.40.455,stroop effect,2024.1.5,None,2024-08-16 12h01.47.348047 +0530,
YELLOW,yellow,C,y,2,1,9,2,14.981662699952722,,,,,,14.967853600159287,14.981662699952722,15.481837700121105,15.481837700121105,15.481837700121105,16.40002669999376,y,1,0.9086959999985993,None,,,,,191780,001,2024-08-16_12h01.40.455,stroop effect,2024.1.5,None,2024-08-16 12h01.47.348047 +0530,
RED,red,C,r,2,2,10,0,16.415062999818474,,,,,,16.401556100230664,16.415062999818474,16.915110900066793,16.915110900066793,16.915110900066793,17.700022500008345,r,1,0.7811616999097168,None,,,,,191780,001,2024-08-16_12h01.40.455,stroop effect,2024.1.5,None,2024-08-16 12h01.47.348047 +0530,
RED,blue,I,b,2,3,11,1,17.715103699825704,,,,,,17.700933100190014,17.715103699825704,18.21509790001437,18.21509790001437,18.21509790001437,19.183696100022644,b,1,0.9670593999326229,None,,,,,191780,001,2024-08-16_12h01.40.455,stroop effect,2024.1.5,None,2024-08-16 12h01.47.348047 +0530,
YELLOW,yellow,C,y,3,0,12,2,19.19855930004269,,,,,,19.184487199876457,19.19855930004269,19.698576500173658,19.698576500173658,19.698576500173658,20.516579799819738,y,1,0.8051263000816107,None,,,,,191780,001,2024-08-16_12h01.40.455,stroop effect,2024.1.5,None,2024-08-16 12h01.47.348047 +0530,
RED,blue,I,b,3,1,13,1,20.531697600148618,,,,,,20.517430500127375,20.531697600148618,21.031815300229937,21.031815300229937,21.031815300229937,22.833182100206614,b,1,1.7971283998340368,None,,,,,191780,001,2024-08-16_12h01.40.455,stroop effect,2024.1.5,None,2024-08-16 12h01.47.348047 +0530,
RED,red,C,r,3,2,14,0,22.848333599977195,,,,,,22.8340712999925,22.848333599977195,23.348387400154024,23.348387400154024,23.348387400154024,24.549010899849236,r,1,1.184308699797839,None,,,,,191780,001,2024-08-16_12h01.40.455,stroop effect,2024.1.5,None,2024-08-16 12h01.47.348047 +0530,
BLUE,blue,C,b,3,3,15,3,24.565013700164855,,,,,,24.549419600050896,24.565013700164855,25.048647799994797,25.048647799994797,25.06525760004297,25.849348400253803,b,1,0.7975197001360357,None,,,,,191780,001,2024-08-16_12h01.40.455,stroop effect,2024.1.5,None,2024-08-16 12h01.47.348047 +0530,
RED,blue,I,b,4,0,16,1,25.865103899966925,,,,,,25.849937200080603,25.865103899966925,26.365155499894172,26.365155499894172,26.365155499894172,27.633708199951798,b,1,1.2660872996784747,None,,,,,191780,001,2024-08-16_12h01.40.455,stroop effect,2024.1.5,None,2024-08-16 12h01.47.348047 +0530,
RED,red,C,r,4,1,17,0,27.64846449997276,,,,,,27.63464770000428,27.64846449997276,28.148389200214297,28.148389200214297,28.148389200214297,28.95003189984709,r,1,0.7883719000965357,None,,,,,191780,001,2024-08-16_12h01.40.455,stroop effect,2024.1.5,None,2024-08-16 12h01.47.348047 +0530,
BLUE,blue,C,b,4,2,18,3,28.965290599968284,,,,,,28.951012399978936,28.965290599968284,29.46510099992156,29.46510099992156,29.46510099992156,30.166895099915564,b,1,0.6877227001823485,None,,,,,191780,001,2024-08-16_12h01.40.455,stroop effect,2024.1.5,None,2024-08-16 12h01.47.348047 +0530,
YELLOW,yellow,C,y,4,3,19,2,30.181865300051868,,,,,,30.16778209991753,30.181865300051868,30.68161980016157,30.68161980016157,30.68161980016157,31.58349910005927,y,1,0.8934308998286724,None,,,,,191780,001,2024-08-16_12h01.40.455,stroop effect,2024.1.5,None,2024-08-16 12h01.47.348047 +0530,
