word,colour,stim_condition,correct_res,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,text.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thanks.started,text_2.started,text_2.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
RED,red,C,r,0,0,0,0,0,0,0,0,0.027082799933850765,,0.014340499881654978,0.027082799933850765,0.5043257996439934,0.5043257996439934,0.5388932996429503,5.003916000016034,8.18125469982624,r,1,7.581298999954015,None,,,,,528293,001,2024-08-16_11h40.18.522,stroop effect,2024.1.5,None,2024-08-16 11h40.25.145455 +0530,
RED,red,C,r,0,0,0,0,1,0,1,0,8.189489000011235,,8.183663199655712,8.189489000011235,8.687157099600881,8.687157099600881,8.703791699837893,13.187247199937701,20.856580999679863,r,1,12.167018600273877,None,,,,,528293,001,2024-08-16_11h40.18.522,stroop effect,2024.1.5,None,2024-08-16 11h40.25.145455 +0530,
RED,red,C,r,0,0,0,0,2,0,2,0,20.871010500006378,,20.857999899890274,20.871010500006378,21.3705329997465,21.3705329997465,21.3705329997465,,22.456158299930394,r,1,1.0822939998470247,None,,,,,528293,001,2024-08-16_11h40.18.522,stroop effect,2024.1.5,None,2024-08-16 11h40.25.145455 +0530,
RED,red,C,r,0,0,0,0,3,0,3,0,22.470433899667114,,22.457750299945474,22.470433899667114,22.97048159968108,22.97048159968108,22.97048159968108,,27.072714800015092,b,0,4.100465999916196,None,,,,,528293,001,2024-08-16_11h40.18.522,stroop effect,2024.1.5,None,2024-08-16 11h40.25.145455 +0530,
RED,red,C,r,0,0,0,0,4,0,4,0,27.08748699957505,,27.074048899579793,27.08748699957505,27.58712979964912,27.58712979964912,27.58712979964912,,28.05594679992646,b,0,0.45163049967959523,None,,,,,528293,001,2024-08-16_11h40.18.522,stroop effect,2024.1.5,None,2024-08-16 11h40.25.145455 +0530,
RED,red,C,r,0,0,0,0,,,,,,,,,,,,,,,,,,28.05732939997688,28.07093259971589,29.07946509961039,29.055359199643135,528293,001,2024-08-16_11h40.18.522,stroop effect,2024.1.5,None,2024-08-16 11h40.25.145455 +0530,
BLUE,red,I,r,0,1,1,2,0,0,0,0,29.07946509961039,,29.05758609995246,29.07946509961039,29.570594399701804,29.570594399701804,29.587122099939734,,31.62250729976222,r,1,2.0501574999652803,None,,,,,528293,001,2024-08-16_11h40.18.522,stroop effect,2024.1.5,None,2024-08-16 11h40.25.145455 +0530,
BLUE,red,I,r,0,1,1,2,1,0,1,0,31.63758309977129,,31.624195899814367,31.63758309977129,32.137229199986905,32.137229199986905,32.137229199986905,,33.324361299630255,r,1,1.1844088998623192,None,,,,,528293,001,2024-08-16_11h40.18.522,stroop effect,2024.1.5,None,2024-08-16 11h40.25.145455 +0530,
BLUE,red,I,r,0,1,1,2,2,0,2,0,33.33737890003249,,33.3255826998502,33.33737890003249,33.8372023999691,33.8372023999691,33.8372023999691,,37.089015499688685,r,1,3.250276000238955,None,,,,,528293,001,2024-08-16_11h40.18.522,stroop effect,2024.1.5,None,2024-08-16 11h40.25.145455 +0530,
BLUE,red,I,r,0,1,1,2,3,0,3,0,37.104154699947685,,37.09068779973313,37.104154699947685,37.603767399676144,37.603767399676144,37.603767399676144,42.103770199697465,45.90696019958705,r,1,8.300744900014251,None,,,,,528293,001,2024-08-16_11h40.18.522,stroop effect,2024.1.5,None,2024-08-16 11h40.25.145455 +0530,
BLUE,red,I,r,0,1,1,2,4,0,4,0,45.920916999690235,,45.90843309974298,45.920916999690235,46.42062309989706,46.42062309989706,46.42062309989706,,46.806448199786246,r,1,0.38364990008994937,None,,,,,528293,001,2024-08-16_11h40.18.522,stroop effect,2024.1.5,None,2024-08-16 11h40.25.145455 +0530,
BLUE,red,I,r,0,1,1,2,,,,,,,,,,,,,,,,,,46.80755279958248,46.82108759973198,47.82063869992271,47.80486059980467,528293,001,2024-08-16_11h40.18.522,stroop effect,2024.1.5,None,2024-08-16 11h40.25.145455 +0530,
BLUE,blue,C,b,0,2,2,3,0,0,0,0,47.82063869992271,,47.80700449971482,47.82063869992271,48.32028670003638,48.32028670003638,48.32028670003638,,51.35616789991036,b,1,3.0342230000533164,None,,,,,528293,001,2024-08-16_11h40.18.522,stroop effect,2024.1.5,None,2024-08-16 11h40.25.145455 +0530,
BLUE,blue,C,b,0,2,2,3,1,0,1,0,51.37120949989185,,51.357504799962044,51.37120949989185,51.87055329978466,51.87055329978466,51.87055329978466,,53.53948659962043,b,1,1.6508565000258386,None,,,,,528293,001,2024-08-16_11h40.18.522,stroop effect,2024.1.5,None,2024-08-16 11h40.25.145455 +0530,
BLUE,blue,C,b,0,2,2,3,2,0,2,0,53.554147199727595,,53.54051689989865,53.554147199727595,54.05366269964725,54.05366269964725,54.05366269964725,58.5535272997804,63.055436099879444,b,1,9.000537600368261,None,,,,,528293,001,2024-08-16_11h40.18.522,stroop effect,2024.1.5,None,2024-08-16 11h40.25.145455 +0530,
BLUE,blue,C,b,0,2,2,3,3,0,3,0,63.07080229977146,,63.05637379968539,63.07080229977146,63.5704756998457,63.5704756998457,63.5704756998457,,64.28960579959676,b,1,0.7171959998086095,None,,,,,528293,001,2024-08-16_11h40.18.522,stroop effect,2024.1.5,None,2024-08-16 11h40.25.145455 +0530,
BLUE,blue,C,b,0,2,2,3,4,0,4,0,64.30352699989453,,64.29076020000502,64.30352699989453,64.80390509963036,64.80390509963036,64.80390509963036,69.30370579985902,71.2394449999556,b,1,6.433545500040054,None,,,,,528293,001,2024-08-16_11h40.18.522,stroop effect,2024.1.5,None,2024-08-16 11h40.25.145455 +0530,
BLUE,blue,C,b,0,2,2,3,,,,,,,,,,,,,,,,,,71.2407232997939,71.25378259969875,72.2536166999489,72.23846909962595,528293,001,2024-08-16_11h40.18.522,stroop effect,2024.1.5,None,2024-08-16 11h40.25.145455 +0530,
RED,blue,I,b,0,3,3,1,0,0,0,0,72.2536166999489,,72.24079009983689,72.2536166999489,72.7538813999854,72.7538813999854,72.7538813999854,77.25377479987219,77.92323389975354,b,1,5.166454900056124,None,,,,,528293,001,2024-08-16_11h40.18.522,stroop effect,2024.1.5,None,2024-08-16 11h40.25.145455 +0530,
RED,blue,I,b,0,3,3,1,1,0,1,0,77.93744839960709,,77.92499519977719,77.93744839960709,78.43712919997051,78.43712919997051,78.43712919997051,,82.08866509981453,b,1,3.6351120001636446,None,,,,,528293,001,2024-08-16_11h40.18.522,stroop effect,2024.1.5,None,2024-08-16 11h40.25.145455 +0530,
RED,blue,I,b,0,3,3,1,2,0,2,0,82.10432849964127,,82.09041469963267,82.10432849964127,82.60382359987125,82.60382359987125,82.60382359987125,,83.4733380000107,b,1,0.8675486999563873,None,,,,,528293,001,2024-08-16_11h40.18.522,stroop effect,2024.1.5,None,2024-08-16 11h40.25.145455 +0530,
RED,blue,I,b,0,3,3,1,3,0,3,0,83.4874239997007,,83.47503919992596,83.4874239997007,83.9870813996531,83.9870813996531,83.9870813996531,,84.40654989983886,b,1,0.4178152997046709,None,,,,,528293,001,2024-08-16_11h40.18.522,stroop effect,2024.1.5,None,2024-08-16 11h40.25.145455 +0530,
RED,blue,I,b,0,3,3,1,4,0,4,0,84.42088829958811,,84.40759019972757,84.42088829958811,84.9203780000098,84.9203780000098,84.9203780000098,,85.78920019976795,b,1,0.867005200125277,None,,,,,528293,001,2024-08-16_11h40.18.522,stroop effect,2024.1.5,None,2024-08-16 11h40.25.145455 +0530,
