word,colour,stim_condition,correct_res,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,ins.started,text_3.started,ins.stopped,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,text.stopped,thanks.started,text_2.started,text_2.stopped,thanks.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.013366499915719032,0.01858199993148446,1.0098122996278107,,,,,,,,,,,,,,,,959098,001,2024-08-16_11h55.33.304,stroop effect,2024.1.5,None,2024-08-16 11h55.43.281567 +0530,
BLUE,blue,C,b,0,0,0,3,1.0259720999747515,,,,,1.0181537996977568,1.0259720999747515,1.511455100029707,1.511455100029707,1.5267962999641895,2.7473338996060193,b,1,1.221372399944812,None,,,,,,959098,001,2024-08-16_11h55.33.304,stroop effect,2024.1.5,None,2024-08-16 11h55.43.281567 +0530,
BLUE,red,I,r,0,1,1,2,2.7595194997265935,,,,,2.748354099690914,2.7595194997265935,3.259670099709183,3.259670099709183,3.259670099709183,4.244447799865156,r,1,0.9746898002922535,None,,,,,,959098,001,2024-08-16_11h55.33.304,stroop effect,2024.1.5,None,2024-08-16 11h55.43.281567 +0530,
RED,red,C,r,0,2,2,0,4.259540199767798,,,,,4.2454635999165475,4.259540199767798,4.759576699696481,4.759576699696481,4.759576699696481,5.777567799668759,r,1,1.0052777002565563,None,,,,,,959098,001,2024-08-16_11h55.33.304,stroop effect,2024.1.5,None,2024-08-16 11h55.43.281567 +0530,
RED,blue,I,b,0,3,3,1,5.793357899878174,,,,,5.778668199665844,5.793357899878174,6.292859300039709,6.292859300039709,6.292859300039709,7.27782589988783,b,1,0.9747121999971569,None,,,,,,959098,001,2024-08-16_11h55.33.304,stroop effect,2024.1.5,None,2024-08-16 11h55.43.281567 +0530,
RED,red,C,r,1,0,4,0,7.292731299996376,,,,,7.279005500022322,7.292731299996376,7.793262899853289,7.793262899853289,7.793262899853289,8.678749799728394,r,1,0.8733787001110613,None,,,,,,959098,001,2024-08-16_11h55.33.304,stroop effect,2024.1.5,None,2024-08-16 11h55.43.281567 +0530,
BLUE,blue,C,b,1,1,5,3,8.693825599737465,,,,,8.681105599738657,8.693825599737465,9.193070499692112,9.193070499692112,9.193070499692112,9.946434899698943,b,1,0.7500718999654055,None,,,,,,959098,001,2024-08-16_11h55.33.304,stroop effect,2024.1.5,None,2024-08-16 11h55.43.281567 +0530,
BLUE,red,I,r,1,2,6,2,9.960236399900168,,,,,9.947553799953312,9.960236399900168,10.460001999977976,10.460001999977976,10.460001999977976,11.227979299612343,r,1,0.7574698003008962,None,,,,,,959098,001,2024-08-16_11h55.33.304,stroop effect,2024.1.5,None,2024-08-16 11h55.43.281567 +0530,
RED,blue,I,b,1,3,7,1,11.243322699796408,,,,,11.229031499940902,11.243322699796408,11.743103199638426,11.743103199638426,11.743103199638426,12.827947699930519,b,1,1.074821799993515,None,,,,,,959098,001,2024-08-16_11h55.33.304,stroop effect,2024.1.5,None,2024-08-16 11h55.43.281567 +0530,
RED,red,C,r,2,0,8,0,12.843749899882823,,,,,12.829120399896055,12.843749899882823,13.3426741999574,13.3426741999574,13.3426741999574,14.061255400069058,r,1,0.707882100250572,None,,,,,,959098,001,2024-08-16_11h55.33.304,stroop effect,2024.1.5,None,2024-08-16 11h55.43.281567 +0530,
RED,blue,I,b,2,1,9,1,14.07681699981913,,,,,14.06227339990437,14.07681699981913,14.611214799806476,14.611214799806476,14.611214799806476,19.877806999720633,b,1,5.249732300173491,None,19.076426199637353,,,,,959098,001,2024-08-16_11h55.33.304,stroop effect,2024.1.5,None,2024-08-16 11h55.43.281567 +0530,
BLUE,red,I,r,2,2,10,2,19.892712200060487,,,,,19.879127399995923,19.892712200060487,20.392679099924862,20.392679099924862,20.392679099924862,21.111191099975258,r,1,0.703885699622333,None,,,,,,959098,001,2024-08-16_11h55.33.304,stroop effect,2024.1.5,None,2024-08-16 11h55.43.281567 +0530,
BLUE,blue,C,b,2,3,11,3,21.125998499803245,,,,,21.112449700012803,21.125998499803245,21.626115899998695,21.626115899998695,21.626115899998695,22.244553699623793,b,1,0.6009626002050936,None,,,,,,959098,001,2024-08-16_11h55.33.304,stroop effect,2024.1.5,None,2024-08-16 11h55.43.281567 +0530,
BLUE,red,I,r,3,0,12,2,22.259536999743432,,,,,22.245814200025052,22.259536999743432,22.75955449976027,22.75955449976027,22.75955449976027,23.294768599793315,r,1,0.52356499992311,None,,,,,,959098,001,2024-08-16_11h55.33.304,stroop effect,2024.1.5,None,2024-08-16 11h55.43.281567 +0530,
RED,red,C,r,3,1,13,0,23.309407099615782,,,,,23.296080799773335,23.309407099615782,23.809393199626356,23.809393199626356,23.809393199626356,24.561503999866545,r,1,0.7493227999657393,None,,,,,,959098,001,2024-08-16_11h55.33.304,stroop effect,2024.1.5,None,2024-08-16 11h55.43.281567 +0530,
RED,blue,I,b,3,2,14,1,24.575963499955833,,,,,24.562985199969262,24.575963499955833,25.076295000035316,25.076295000035316,25.076295000035316,25.845376499928534,b,1,0.7668599002063274,None,,,,,,959098,001,2024-08-16_11h55.33.304,stroop effect,2024.1.5,None,2024-08-16 11h55.43.281567 +0530,
