trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation.stopped,grating.started,key_resp.started,grating.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,tilt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.014578600006643683,,0.00964080000994727,0.014578600006643683,1.0196457999991253,1.0196457999991253,1.0196457999991253,1.3315448999928776,1.4768938999914099,up,1,0.3990066999976989,None,0,084674,001,2024-09-13_12h07.50.622,Signal detection,2024.1.5,None,2024-09-13 12h08.00.987982 +0530,
1,0,1,0,1.4807043999899179,,1.4780976999900304,1.4807043999899179,2.481508400000166,2.481508400000166,2.481508400000166,2.7816967999970075,6.249868599988986,up,0,3.7586814000096638,None,-4,084674,001,2024-09-13_12h07.50.622,Signal detection,2024.1.5,None,2024-09-13 12h08.00.987982 +0530,
2,0,2,0,6.2647479999868665,,6.2519965000101365,6.2647479999868665,7.265083999984199,7.265083999984199,7.265083999984199,7.6075622999924235,8.015798500011442,down,1,0.7380459000123665,None,-3,084674,001,2024-09-13_12h07.50.622,Signal detection,2024.1.5,None,2024-09-13 12h08.00.987982 +0530,
3,0,3,0,8.031385200010845,,8.01713930000551,8.031385200010845,9.031470099987928,9.031470099987928,9.031470099987928,9.331662199983839,9.332949200004805,up,1,0.2921496000199113,None,0,084674,001,2024-09-13_12h07.50.622,Signal detection,2024.1.5,None,2024-09-13 12h08.00.987982 +0530,
4,0,4,0,9.34823500001221,,9.334307499986608,9.34823500001221,10.348264500004007,10.348264500004007,10.348264500004007,,10.516214700008277,down,1,0.15261719998670742,None,1,084674,001,2024-09-13_12h07.50.622,Signal detection,2024.1.5,None,2024-09-13 12h08.00.987982 +0530,
5,0,5,0,10.531300600006944,,10.517584099987289,10.531300600006944,11.531396300008055,11.531396300008055,11.531396300008055,11.831389900005888,12.166107299999567,up,0,0.6228970999945886,None,-2,084674,001,2024-09-13_12h07.50.622,Signal detection,2024.1.5,None,2024-09-13 12h08.00.987982 +0530,
6,0,6,0,12.181345299992245,,12.167420000012498,12.181345299992245,13.181393400009256,13.181393400009256,13.181393400009256,13.481527700001607,13.598986800003331,up,1,0.4069426000060048,None,0,084674,001,2024-09-13_12h07.50.622,Signal detection,2024.1.5,None,2024-09-13 12h08.00.987982 +0530,
7,0,7,0,13.6148036000086,,13.599867899989476,13.6148036000086,14.615125000011176,14.615125000011176,14.615125000011176,14.91491560000577,15.18300660001114,up,0,0.5559344999783207,None,2,084674,001,2024-09-13_12h07.50.622,Signal detection,2024.1.5,None,2024-09-13 12h08.00.987982 +0530,
8,0,8,0,15.198369699995965,,15.184351300005801,15.198369699995965,16.198498099984135,16.198498099984135,16.198498099984135,16.498283599998103,19.398916800011648,down,0,3.1890220000059344,None,0,084674,001,2024-09-13_12h07.50.622,Signal detection,2024.1.5,None,2024-09-13 12h08.00.987982 +0530,
9,0,9,0,19.414656899985857,,19.40040250000311,19.414656899985857,20.415015999984462,20.415015999984462,20.415015999984462,20.714847199997166,20.73271250000107,up,0,0.31155300000682473,None,-3,084674,001,2024-09-13_12h07.50.622,Signal detection,2024.1.5,None,2024-09-13 12h08.00.987982 +0530,
