trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	thisRow.t	notes	trial.started	fixation.started	fixation.stopped	grating.started	key_resp.started	grating.stopped	trial.stopped	key_resp.keys	key_resp.corr	key_resp.rt	key_resp.duration	tilt	participant	session	date	expName	psychopyVersion	frameRate	expStart
0	0	0	0	0.0054349		0.0031396	0.0054349	1.0146659	1.0146659	1.0146659	1.326827	1.5662149	up	0	0.5397989	None	1	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
1	0	1	0	1.5766701		1.5685106	1.5766701	2.5771182	2.5771182	2.5771182	2.8770269	3.4783122	up	0	0.888828	None	2	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
2	0	2	0	3.493451		3.4812599	3.493451	4.4938296	4.4938296	4.4938296	4.793763	5.095544	up	1	0.5995287	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
3	0	3	0	5.1101566		5.0986901	5.1101566	6.1103452	6.1103452	6.1103452	6.4103556	6.7448151	down	1	0.6268281	None	3	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
4	0	4	0	6.7601564		6.7477486	6.7601564	7.7602776	7.7602776	7.7602776	8.0603825	8.6948857	up	1	0.9212637	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
5	0	5	0	8.7100578		8.6981695	8.7100578	9.7104551	9.7104551	9.7104551	10.0103472	10.2948794	down	1	0.578712	None	3	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
6	0	6	0	10.3102543		10.2979369	10.3102543	11.3104328	11.3104328	11.3104328	11.6103161	11.7118489	up	1	0.3957308	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
7	0	7	0	11.7268376		11.7149847	11.7268376	12.7272683	12.7272683	12.7272683	13.0270229	13.5279561	up	1	0.7934628	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
8	0	8	0	13.5434793		13.5296143	13.5434793	14.5436498	14.5436498	14.5436498	14.8434784	15.095561	down	0	0.5455723	None	0	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
9	0	9	0	15.1104449		15.0995516	15.1104449	16.1104676	16.1104676	16.1104676	16.4104216	16.7284251	down	1	0.605099	None	-5	195648	1	2024-09-16_13h46.28.661	Signal detection	2024.1.5	None	2024-09-16 13h46.35.765795 +0530
