key_resp.corr	key_resp.rt		Seq_rt	ran_rt			
1	1.0952319		1.0952319	0.6283394			
1	0.944744		0.944744	0.4687596			
1	0.7706393		0.7706393	0.760893			
1	0.3849266		0.3849266	0.6342729			
1	0.5835569		0.5835569	0.4731912			
1	0.2862249		0.2862249	0.5330337			
1	0.9243031		0.9243031	0.7994869			
1	0.4486856		0.4486856	0.3274163			
1	0.6636192		0.6636192	0.6715436			
1	0.2676744		0.2676744	0.4157222			
1	0.4345733		0.4345733	0.5821873			
1	0.2669493		0.2669493	0.3319373			
1	0.3739831		0.3739831	0.4107893			
1	0.2992287		0.2992287	0.4756729			
1	0.2752305		0.2752305	0.4914335			
1	0.5752891		0.5752891	0.4964159			
1	0.2965904		0.2965904	0.7064875			
1	0.6336556		0.6336556	0.4497926			
1	0.3141657		0.3141657	0.6633333			
1	0.5897749		0.5897749	0.6177083		Mean_seq	0.445291014
1	0.2855936		0.2855936	0.4035354		Mean_ran	0.697455575
1	0.6630138		0.6630138	0.5695987			
1	0.4256557		0.4256557	0.4878434			
1	0.4785046		0.4785046	0.4520862			
1	0.2435369		0.2435369	0.6290656			
1	0.6671334		0.6671334	0.5435127			
1	0.3706819		0.3706819	0.6998308			
1	0.2754355		0.2754355	0.5667258			
1	0.3038287		0.3038287	0.5431297			
1	0.2886993		0.2886993	0.4427958			
1	0.3880505		0.3880505	0.5090672			
1	0.7122088		0.7122088	0.4515333			
1	0.3071115		0.3071115	0.6668619			
1	0.8592016		0.8592016	0.5041452			
1	0.7115374		0.7115374	0.4761295			
1	0.279762		0.279762	0.5490184			
1	0.344663		0.344663	0.3864091			
1	0.5074485		0.5074485	0.6378921			
1	0.2013004		0.2013004	0.5135497			
1	0.7745542		0.7745542	0.5853298			
1	0.2789482		0.2789482	0.5975423			
1	0.2777069		0.2777069	0.5011949			
1	0.4057522		0.4057522	0.535821			
1	0.3337547		0.3337547	0.3772168			
1	0.2495541		0.2495541	0.5017969			
1	0.5956793		0.5956793	0.6159538			
1	0.3041447		0.3041447	1.2253904			
1	0.3632662		0.3632662	0.696686			
1	0.2990859		0.2990859	0.9969557			
1	0.3347979		0.3347979	0.6176621			
1	0.9768627		0.9768627	0.5601269			
1	0.2966696		0.2966696	0.4673775			
1	0.3077269		0.3077269	0.7601388			
1	1.3443023		1.3443023	0.5135842			
1	0.650528		0.650528	0.6783894			
1	0.5270908		0.5270908	0.3806434			
1	0.7468995		0.7468995	0.5052195			
1	0.4629762		0.4629762	0.5473514			
1	0.3003628		0.3003628	0.5368412			
1	0.3713809		0.3713809	0.3302129			
1	0.1812861		0.1812861	0.6731351			
1	0.8280831		0.8280831	0.4120692			
1	0.7857531		0.7857531	0.4195182			
1	0.3582935		0.3582935	0.5083199			
1	0.3226799		0.3226799	0.4000144			
1	0.378193		0.378193	1.1569257			
1	0.7420218		0.7420218	0.9300047			
1	0.3150532		0.3150532	3.0824031			
1	0.2630076		0.2630076	0.7394906			
1	0.374654		0.374654	0.8782636			
1	0.633574		0.633574	0.7775244			
1	0.3915898		0.3915898	0.4905786			
1	0.2345046		0.2345046	0.7860962			
1	0.4060394		0.4060394	0.7151195			
1	0.2836176		0.2836176	0.7519201			
1	0.080176		0.080176	0.7351572			
1	0.2919819		0.2919819	0.904941			
1	0.375871		0.375871	0.8250217			
1	0.5199586		0.5199586	0.4397098			
1	0.5129106		0.5129106	0.7310762			
1	0.255605		0.255605	0.5502202			
1	0.2804081		0.2804081	0.4727296			
1	0.3431519		0.3431519	0.5987336			
1	0.2724228		0.2724228	1.174826			
1	0.2860484		0.2860484	0.8498482			
1	0.8387641		0.8387641	0.7323838			
1	0.4075252		0.4075252				
1	0.277164		0.277164	0.9384424			
1	0.1701287		0.1701287	0.7589886			
1	0.4714354		0.4714354	0.6905638			
1	0.4362266		0.4362266	0.6471768			
1	0.2672214		0.2672214	0.5541841			
1	0.5068937		0.5068937	0.9352871			
1	0.4016976		0.4016976	0.6705416			
1	0.6276818		0.6276818	0.8273737			
1	0.056459		0.056459	0.7628001			
1	0.284581		0.284581	0.6729056			
1	0.3826292		0.3826292	0.5674104			
1	0.954082		0.954082	0.7214006			
1	1.1353757		1.1353757	0.7239674			
1	0.2899965		0.2899965	0.6641645			
1	1.2146835		1.2146835	0.7566976			
1	0.3667937		0.3667937	0.7437185			
1	0.2668247		0.2668247	0.5843353			
1	0.2817104		0.2817104	0.8965173			
1	0.4027035		0.4027035	0.7462531			
1	0.3132664		0.3132664	0.5586338			
1	0.3513551		0.3513551	0.4903529			
1	0.2825414		0.2825414	0.673379			
1	0.9167703		0.9167703	0.8452827			
1	0.8315549		0.8315549	0.5014926			
1	0.3240261		0.3240261	0.8285777			
1	0.1805567		0.1805567	0.8080716			
1	0.5596751		0.5596751	0.4581107			
1	0.5791893		0.5791893	0.5825801			
1	0.3409974		0.3409974	0.6415136			
1	0.3111977		0.3111977	0.4594959			
1	0.8387618		0.8387618	0.4189817			
1	0.7892681		0.7892681	0.6236056			
1	0.8648214		0.8648214	0.5933692			
1	0.384602		0.384602	0.5441777			
1	0.3849703		0.3849703	0.6403511			
1	0.881667		0.881667	0.494304			
1	0.2963625		0.2963625	0.4220392			
1	0.7711095		0.7711095	0.4707705			
1	0.3172112		0.3172112	0.5019251			
1	0.1563383		0.1563383	0.6933963			
1	0.3114799		0.3114799	0.8462131			
1	0.0722251		0.0722251	0.7155761			
1	0.3796671		0.3796671	0.89178			
1	0.7489395		0.7489395	0.6350493			
1	0.0749927		0.0749927	0.321596			
1	0.2389597		0.2389597	0.6386707			
1	0.8265413		0.8265413	0.9700409			
1	0.3670436		0.3670436	0.7889376			
1	0.4156416		0.4156416	0.5932041			
1	0.2606053		0.2606053	0.585307			
1	0.3104366		0.3104366	0.7333487			
1	0.3390564		0.3390564	0.5282204			
1	0.2919781		0.2919781	0.3103514			
1	0.2761162		0.2761162	0.6262025			
1	0.5306831		0.5306831	0.7313549			
1	0.6665137		0.6665137	0.7008366			
1	0.3071168		0.3071168	0.6648883			
1	0.2625656		0.2625656	0.5951586			
1	0.2264165		0.2264165	1.2745947			
1	0.3274089		0.3274089	0.833404			
1	0.311073		0.311073	0.5085527			
1	0.2868146		0.2868146	0.8669863			
1	0.3578315		0.3578315	0.8091716			
1	0.9501001		0.9501001	0.5683124			
1	0.2068849		0.2068849	1.3727873			
1	0.4543336		0.4543336	0.5835116			
1	0.2809393		0.2809393	0.7249553			
1	0.6146555		0.6146555	0.6701574			
1	0.6060636		0.6060636	0.7433029			
1	0.5068673		0.5068673	0.5448194			
1	1.4945327		1.4945327	0.4847256			
1	0.417195		0.417195	0.4313965			
1	0.8424093		0.8424093	0.4829387			
1	0.6183335		0.6183335	0.7148425			
1	0.1784474		0.1784474	0.601019			
1	1.0017695		1.0017695	0.5301433			
1	0.2396322		0.2396322	1.7967726			
1	0.5246355		0.5246355	0.6316688			
1	0.5883249		0.5883249	0.6570714			
1	0.4643528		0.4643528	1.8030073			
1	0.645208		0.645208	0.9290194			
1	0.2965447		0.2965447	0.7243091			
1	0.3169105		0.3169105	0.7693234			
1	0.7767042		0.7767042	0.6037658			
1	0.8093309		0.8093309	0.4580593			
1	0.0527591		0.0527591	0.8530459			
1	0.4052951		0.4052951	0.7683861			
1	0.3145443		0.3145443	0.744403			
1	0.1762002		0.1762002	0.68491			
1	0.3162379		0.3162379	0.7334858			
1	0.348814		0.348814	0.6999671			
1	0.1977624		0.1977624	0.7137267			
1	0.3145962		0.3145962	0.9941582			
1	0.295719		0.295719	0.7049284			
1	0.6077868		0.6077868	0.7743579			
1	0.5018087		0.5018087	0.8040871			
1	0.0088476		0.0088476	0.5182413			
1	0.2797216		0.2797216	0.6536956			
1	0.3089999		0.3089999	1.255695			
1	0.2577721		0.2577721	1.113902			
1	0.0792687		0.0792687	0.7076888			
1	0.4409773		0.4409773	0.7284561			
1	0.3543607		0.3543607	1.3510127			
1	0.52341		0.52341	0.8296752			
1	0.3970906		0.3970906	0.7517858			
1	0.0332752		0.0332752	1.4014281			
1	0.3023971		0.3023971	1.8056799			
1	0.4310286		0.4310286	0.6044075			
1	0.3002857		0.3002857	0.6426613			
1	0.3042199		0.3042199	0.4966305			
1	0.4838172		0.4838172	1.1394257			
1	0.3418477		0.3418477	0.8807719			
1	0.2769142		0.2769142	2.0899392			
1	0.6283394						
1	0.4687596						
1	0.760893						
1	0.6342729						
1	0.4731912						
1	0.5330337						
1	0.7994869						
1	0.3274163						
1	0.6715436						
1	0.4157222						
1	0.5821873						
1	0.3319373						
1	0.4107893						
1	0.4756729						
1	0.4914335						
1	0.4964159						
1	0.7064875						
1	0.4497926						
1	0.6633333						
1	0.6177083						
1	0.4035354						
1	0.5695987						
1	0.4878434						
1	0.4520862						
1	0.6290656						
1	0.5435127						
1	0.6998308						
1	0.5667258						
1	0.5431297						
1	0.4427958						
1	0.5090672						
1	0.4515333						
1	0.6668619						
1	0.5041452						
1	0.4761295						
1	0.5490184						
1	0.3864091						
1	0.6378921						
1	0.5135497						
1	0.5853298						
1	0.5975423						
1	0.5011949						
1	0.535821						
1	0.3772168						
1	0.5017969						
1	0.6159538						
1	1.2253904						
1	0.696686						
1	0.9969557						
1	0.6176621						
1	0.5601269						
1	0.4673775						
1	0.7601388						
1	0.5135842						
1	0.6783894						
1	0.3806434						
1	0.5052195						
1	0.5473514						
1	0.5368412						
1	0.3302129						
1	0.6731351						
1	0.4120692						
1	0.4195182						
1	0.5083199						
1	0.4000144						
1	1.1569257						
1	0.9300047						
1	3.0824031						
1	0.7394906						
1	0.8782636						
1	0.7775244						
1	0.4905786						
1	0.7860962						
1	0.7151195						
1	0.7519201						
1	0.7351572						
1	0.904941						
1	0.8250217						
1	0.4397098						
1	0.7310762						
1	0.5502202						
1	0.4727296						
1	0.5987336						
1	1.174826						
1	0.8498482						
1	0.7323838						
0	0.5267814						
1	0.9384424						
1	0.7589886						
1	0.6905638						
1	0.6471768						
1	0.5541841						
1	0.9352871						
1	0.6705416						
1	0.8273737						
1	0.7628001						
1	0.6729056						
1	0.5674104						
1	0.7214006						
1	0.7239674						
1	0.6641645						
1	0.7566976						
1	0.7437185						
1	0.5843353						
1	0.8965173						
1	0.7462531						
1	0.5586338						
1	0.4903529						
1	0.673379						
1	0.8452827						
1	0.5014926						
1	0.8285777						
1	0.8080716						
1	0.4581107						
1	0.5825801						
1	0.6415136						
1	0.4594959						
1	0.4189817						
1	0.6236056						
1	0.5933692						
1	0.5441777						
1	0.6403511						
1	0.494304						
1	0.4220392						
1	0.4707705						
1	0.5019251						
1	0.6933963						
1	0.8462131						
1	0.7155761						
1	0.89178						
1	0.6350493						
1	0.321596						
1	0.6386707						
1	0.9700409						
1	0.7889376						
1	0.5932041						
1	0.585307						
1	0.7333487						
1	0.5282204						
1	0.3103514						
1	0.6262025						
1	0.7313549						
1	0.7008366						
1	0.6648883						
1	0.5951586						
1	1.2745947						
1	0.833404						
1	0.5085527						
1	0.8669863						
1	0.8091716						
1	0.5683124						
1	1.3727873						
1	0.5835116						
1	0.7249553						
1	0.6701574						
1	0.7433029						
1	0.5448194						
1	0.4847256						
1	0.4313965						
1	0.4829387						
1	0.7148425						
1	0.601019						
1	0.5301433						
1	1.7967726						
1	0.6316688						
1	0.6570714						
1	1.8030073						
1	0.9290194						
1	0.7243091						
1	0.7693234						
1	0.6037658						
1	0.4580593						
1	0.8530459						
1	0.7683861						
1	0.744403						
1	0.68491						
1	0.7334858						
1	0.6999671						
1	0.7137267						
1	0.9941582						
1	0.7049284						
1	0.7743579						
1	0.8040871						
1	0.5182413						
1	0.6536956						
1	1.255695						
1	1.113902						
1	0.7076888						
1	0.7284561						
1	1.3510127						
1	0.8296752						
1	0.7517858						
1	1.4014281						
1	1.8056799						
1	0.6044075						
1	0.6426613						
1	0.4966305						
1	1.1394257						
1	0.8807719						
1	2.0899392						
