study_test	test_word	Reference	old_new	test.stopped	textbox.text	testmouse.x	testmouse.y	testmouse.leftButton	testmouse.midButton	testmouse.rightButton	testmouse.time	testmouse.clicked_name	participant	session	date	expName	psychopyVersion	frameRate	expStart
	_o_rd	Board	old	41.8711503	board	[0.005555555555555556]	[-0.29259259259259257]	[1]	[0]	[0]	[4.4519460999872535]	['submit_text']	p1	1	2024-10-25_17h53.27.383	word priming	2024.1.5	None	2024-10-25 17h53.40.913127 +0530
	_ru_is_	Cruise	old	46.2536003	cruise	[0.005555555555555556]	[-0.29259259259259257]	[1]	[0]	[0]	[4.376963699935004]	['submit_text']	p1	1	2024-10-25_17h53.27.383	word priming	2024.1.5	None	2024-10-25 17h53.40.913127 +0530
	T_hi_t	Tshirt	old	50.437128	Tshirt	[0.005555555555555556]	[-0.29259259259259257]	[1]	[0]	[0]	[4.179977599997073]	['submit_text']	p1	1	2024-10-25_17h53.27.383	word priming	2024.1.5	None	2024-10-25 17h53.40.913127 +0530
	_ha_t	Chart	old	58.4208872	chart	[-0.002777777777777778]	[-0.3037037037037037]	[1]	[0]	[0]	[7.979352399939671]	['submit_text']	p1	1	2024-10-25_17h53.27.383	word priming	2024.1.5	None	2024-10-25 17h53.40.913127 +0530
	_a_bl_	Marble	old	66.1371591	marble	[-0.002777777777777778]	[-0.3037037037037037]	[1]	[0]	[0]	[7.710909500019625]	['submit_text']	p1	1	2024-10-25_17h53.27.383	word priming	2024.1.5	None	2024-10-25 17h53.40.913127 +0530
	_oo_	Book	old	69.8038185	book	[-0.002777777777777778]	[-0.3037037037037037]	[1]	[0]	[0]	[3.663408299908042]	['submit_text']	p1	1	2024-10-25_17h53.27.383	word priming	2024.1.5	None	2024-10-25 17h53.40.913127 +0530
	p_nc_l	Pencil	new	73.2046248	pencil	[-0.002777777777777778]	[-0.3037037037037037]	[1]	[0]	[0]	[3.3965021999320015]	['submit_text']	p1	1	2024-10-25_17h53.27.383	word priming	2024.1.5	None	2024-10-25 17h53.40.913127 +0530
	l_pt_p	Laptop	old	78.5036961	laptop	[-0.002777777777777778]	[-0.3037037037037037]	[1]	[0]	[0]	[5.292744999984279]	['submit_text']	p1	1	2024-10-25_17h53.27.383	word priming	2024.1.5	None	2024-10-25 17h53.40.913127 +0530
	_ou_e	mouse	old	82.7043369	mouse	[-0.002777777777777778]	[-0.3037037037037037]	[1]	[0]	[0]	[4.196678700041957]	['submit_text']	p1	1	2024-10-25_17h53.27.383	word priming	2024.1.5	None	2024-10-25 17h53.40.913127 +0530
	v_s_	Vase	new	85.8373447	vase	[-0.002777777777777778]	[-0.3037037037037037]	[1]	[0]	[0]	[3.1261945000151172]	['submit_text']	p1	1	2024-10-25_17h53.27.383	word priming	2024.1.5	None	2024-10-25 17h53.40.913127 +0530
	c_s_	Case	old	89.3378355	case	[-0.002777777777777778]	[-0.3037037037037037]	[1]	[0]	[0]	[3.496276200050488]	['submit_text']	p1	1	2024-10-25_17h53.27.383	word priming	2024.1.5	None	2024-10-25 17h53.40.913127 +0530
	P_st_r	Poster	old	94.5379808	poster	[-0.002777777777777778]	[-0.3037037037037037]	[1]	[0]	[0]	[5.193502799957059]	['submit_text']	p1	1	2024-10-25_17h53.27.383	word priming	2024.1.5	None	2024-10-25 17h53.40.913127 +0530
	c_s_io_	Cushion	old	101.8377193	cushion	[-0.002777777777777778]	[-0.3037037037037037]	[1]	[0]	[0]	[7.294324000016786]	['submit_text']	p1	1	2024-10-25_17h53.27.383	word priming	2024.1.5	None	2024-10-25 17h53.40.913127 +0530
	p_li_e	Police	old	106.7379083	police	[-0.002777777777777778]	[-0.3037037037037037]	[1]	[0]	[0]	[4.894094399991445]	['submit_text']	p1	1	2024-10-25_17h53.27.383	word priming	2024.1.5	None	2024-10-25 17h53.40.913127 +0530
	bo_t_e	Bottle	new	111.6714041	bottle	[-0.002777777777777778]	[-0.3037037037037037]	[1]	[0]	[0]	[4.927319000009447]	['submit_text']	p1	1	2024-10-25_17h53.27.383	word priming	2024.1.5	None	2024-10-25 17h53.40.913127 +0530
	K_y_	Keys	old	115.2380293	keys	[-0.002777777777777778]	[-0.3037037037037037]	[1]	[0]	[0]	[3.5607017999282107]	['submit_text']	p1	1	2024-10-25_17h53.27.383	word priming	2024.1.5	None	2024-10-25 17h53.40.913127 +0530
	c_m_ra	Camera	new	120.5543182	camara	[0.027777777777777776]	[-0.30092592592592593]	[1]	[0]	[0]	[5.309625299996696]	['submit_text']	p1	1	2024-10-25_17h53.27.383	word priming	2024.1.5	None	2024-10-25 17h53.40.913127 +0530
	_ho_e	Phone	old	126.121001	phone	[0.027777777777777776]	[-0.30092592592592593]	[1]	[0]	[0]	[5.560609599924646]	['submit_text']	p1	1	2024-10-25_17h53.27.383	word priming	2024.1.5	None	2024-10-25 17h53.40.913127 +0530
	P_str_	Pastry	old	130.2040599	pastry	[0.027777777777777776]	[-0.30092592592592593]	[1]	[0]	[0]	[4.077950400067493]	['submit_text']	p1	1	2024-10-25_17h53.27.383	word priming	2024.1.5	None	2024-10-25 17h53.40.913127 +0530
	ta_l_	Table	new	134.670981	table	[0.027777777777777776]	[-0.30092592592592593]	[1]	[0]	[0]	[4.461440799990669]	['submit_text']	p1	1	2024-10-25_17h53.27.383	word priming	2024.1.5	None	2024-10-25 17h53.40.913127 +0530
																			
		Prop hit from study list																	
		Prop hit for non primed words																	
																			
		Priming score																	
